jovial_babbage: CPU: 3190.97%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 3094.33%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 2957.28%, Memory: 18.09GiB / 503.5GiB
jovial_babbage: CPU: 142.98%, Memory: 21.08GiB / 503.5GiB
jovial_babbage: CPU: 99.72%, Memory: 21.08GiB / 503.5GiB
jovial_babbage: CPU: 243.69%, Memory: 9.055GiB / 503.5GiB
jovial_babbage: CPU: 3193.64%, Memory: 9.054GiB / 503.5GiB
jovial_babbage: CPU: 3160.41%, Memory: 9.054GiB / 503.5GiB
jovial_babbage: CPU: 3197.23%, Memory: 9.054GiB / 503.5GiB
jovial_babbage: CPU: 3178.94%, Memory: 9.054GiB / 503.5GiB
jovial_babbage: CPU: 3106.16%, Memory: 9.054GiB / 503.5GiB
jovial_babbage: CPU: 3116.69%, Memory: 9.054GiB / 503.5GiB
jovial_babbage: CPU: 100.12%, Memory: 15.11GiB / 503.5GiB
practical_germain: CPU: 101.66%, Memory: 1.126GiB / 503.5GiB
practical_germain: CPU: 100.27%, Memory: 3.789GiB / 503.5GiB
practical_germain: CPU: 100.06%, Memory: 5.986GiB / 503.5GiB
practical_germain: CPU: 100.37%, Memory: 5.192GiB / 503.5GiB
practical_germain: CPU: 100.15%, Memory: 8.859GiB / 503.5GiB
practical_germain: CPU: 3208.74%, Memory: 9.003GiB / 503.5GiB
practical_germain: CPU: 3203.08%, Memory: 9.004GiB / 503.5GiB
practical_germain: CPU: 3206.38%, Memory: 9.005GiB / 503.5GiB
practical_germain: CPU: 3197.53%, Memory: 9.005GiB / 503.5GiB
practical_germain: CPU: 3182.17%, Memory: 9.006GiB / 503.5GiB
practical_germain: CPU: 3130.13%, Memory: 9.006GiB / 503.5GiB
practical_germain: CPU: 3162.67%, Memory: 9.008GiB / 503.5GiB
practical_germain: CPU: 3095.86%, Memory: 9.008GiB / 503.5GiB
practical_germain: CPU: 3191.27%, Memory: 9.009GiB / 503.5GiB
practical_germain: CPU: 3196.11%, Memory: 9.01GiB / 503.5GiB
practical_germain: CPU: 3183.90%, Memory: 9.011GiB / 503.5GiB
practical_germain: CPU: 3207.48%, Memory: 9.012GiB / 503.5GiB
practical_germain: CPU: 3185.10%, Memory: 9.014GiB / 503.5GiB
practical_germain: CPU: 3201.70%, Memory: 9.015GiB / 503.5GiB
practical_germain: CPU: 3183.49%, Memory: 9.017GiB / 503.5GiB
practical_germain: CPU: 3195.00%, Memory: 9.021GiB / 503.5GiB
practical_germain: CPU: 1187.46%, Memory: 9.028GiB / 503.5GiB
practical_germain: CPU: 99.99%, Memory: 9.026GiB / 503.5GiB
practical_germain: CPU: 100.02%, Memory: 6.641GiB / 503.5GiB
practical_germain: CPU: 100.14%, Memory: 9.726GiB / 503.5GiB
practical_germain: CPU: 2292.18%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3196.89%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3184.82%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3196.10%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3184.46%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3195.79%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3195.53%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3197.97%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3196.38%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3195.20%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3206.71%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3107.79%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3165.95%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3100.12%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3197.88%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3197.10%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3200.00%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3186.66%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 3192.44%, Memory: 12.01GiB / 503.5GiB
practical_germain: CPU: 99.78%, Memory: 15GiB / 503.5GiB
practical_germain: CPU: 99.93%, Memory: 11.88GiB / 503.5GiB
practical_germain: CPU: 3209.49%, Memory: 12.12GiB / 503.5GiB
practical_germain: CPU: 3196.25%, Memory: 12.12GiB / 503.5GiB
practical_germain: CPU: 3196.83%, Memory: 12.12GiB / 503.5GiB
practical_germain: CPU: 3178.30%, Memory: 12.12GiB / 503.5GiB
practical_germain: CPU: 3108.07%, Memory: 12.12GiB / 503.5GiB
practical_germain: CPU: 228.89%, Memory: 13.29GiB / 503.5GiB
practical_germain: CPU: 100.05%, Memory: 16.37GiB / 503.5GiB
practical_germain: CPU: 3197.06%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 3211.58%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 3198.17%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 3210.43%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 3210.35%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 3197.82%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 3196.43%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 3196.09%, Memory: 18.09GiB / 503.5GiB
practical_germain: CPU: 759.39%, Memory: 19.69GiB / 503.5GiB
practical_germain: CPU: 99.75%, Memory: 21.08GiB / 503.5GiB
practical_germain: CPU: 3110.05%, Memory: 9.054GiB / 503.5GiB
practical_germain: CPU: 3172.00%, Memory: 9.054GiB / 503.5GiB
practical_germain: CPU: 3093.09%, Memory: 9.054GiB / 503.5GiB
practical_germain: CPU: 3193.88%, Memory: 9.054GiB / 503.5GiB
practical_germain: CPU: 3184.55%, Memory: 9.054GiB / 503.5GiB
practical_germain: CPU: 3196.35%, Memory: 9.054GiB / 503.5GiB
practical_germain: CPU: 103.52%, Memory: 11.71GiB / 503.5GiB
practical_germain: CPU: 100.17%, Memory: 9.883GiB / 503.5GiB
great_cohen: CPU: 100.40%, Memory: 1.39GiB / 503.5GiB
great_cohen: CPU: 100.21%, Memory: 3.72GiB / 503.5GiB
great_cohen: CPU: 100.05%, Memory: 5.986GiB / 503.5GiB
great_cohen: CPU: 100.12%, Memory: 3.792GiB / 503.5GiB
great_cohen: CPU: 100.11%, Memory: 8.352GiB / 503.5GiB
great_cohen: CPU: 3186.28%, Memory: 9.002GiB / 503.5GiB
great_cohen: CPU: 3117.86%, Memory: 9.004GiB / 503.5GiB
great_cohen: CPU: 3167.26%, Memory: 9.004GiB / 503.5GiB
great_cohen: CPU: 3099.14%, Memory: 9.003GiB / 503.5GiB
great_cohen: CPU: 3166.98%, Memory: 9.005GiB / 503.5GiB
great_cohen: CPU: 3198.21%, Memory: 9.005GiB / 503.5GiB
great_cohen: CPU: 3187.20%, Memory: 9.006GiB / 503.5GiB
great_cohen: CPU: 3197.31%, Memory: 9.007GiB / 503.5GiB
great_cohen: CPU: 3197.57%, Memory: 9.008GiB / 503.5GiB
great_cohen: CPU: 3197.86%, Memory: 9.009GiB / 503.5GiB
great_cohen: CPU: 3197.03%, Memory: 9.01GiB / 503.5GiB
great_cohen: CPU: 3195.41%, Memory: 9.011GiB / 503.5GiB
great_cohen: CPU: 3208.43%, Memory: 9.013GiB / 503.5GiB
great_cohen: CPU: 3197.25%, Memory: 9.014GiB / 503.5GiB
great_cohen: CPU: 3157.15%, Memory: 9.017GiB / 503.5GiB
great_cohen: CPU: 3149.38%, Memory: 9.017GiB / 503.5GiB
great_cohen: CPU: 3087.63%, Memory: 9.016GiB / 503.5GiB
great_cohen: CPU: 3195.08%, Memory: 9.019GiB / 503.5GiB
great_cohen: CPU: 3187.59%, Memory: 9.028GiB / 503.5GiB
great_cohen: CPU: 99.75%, Memory: 9.026GiB / 503.5GiB
great_cohen: CPU: 100.08%, Memory: 6.197GiB / 503.5GiB
great_cohen: CPU: 100.15%, Memory: 9.053GiB / 503.5GiB
great_cohen: CPU: 320.34%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3207.80%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3180.52%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3207.56%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3206.42%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3209.37%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3108.04%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3108.56%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3170.69%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3184.47%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3184.39%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3195.06%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3188.15%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3194.41%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3196.07%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3184.02%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3207.95%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 3196.58%, Memory: 12.01GiB / 503.5GiB
great_cohen: CPU: 2241.70%, Memory: 14.1GiB / 503.5GiB
great_cohen: CPU: 100.05%, Memory: 15GiB / 503.5GiB
great_cohen: CPU: 1894.48%, Memory: 12.12GiB / 503.5GiB
great_cohen: CPU: 3156.93%, Memory: 12.12GiB / 503.5GiB
great_cohen: CPU: 3211.43%, Memory: 12.12GiB / 503.5GiB
great_cohen: CPU: 3199.01%, Memory: 12.12GiB / 503.5GiB
great_cohen: CPU: 3198.08%, Memory: 12.12GiB / 503.5GiB
great_cohen: CPU: 3192.17%, Memory: 12.16GiB / 503.5GiB
great_cohen: CPU: 100.18%, Memory: 15.25GiB / 503.5GiB
great_cohen: CPU: 884.43%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 3184.50%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 3196.59%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 3194.38%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 3169.16%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 3096.74%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 3144.62%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 3084.51%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 2995.24%, Memory: 18.09GiB / 503.5GiB
great_cohen: CPU: 100.17%, Memory: 21.08GiB / 503.5GiB
great_cohen: CPU: 540.15%, Memory: 9.054GiB / 503.5GiB
great_cohen: CPU: 3196.59%, Memory: 9.054GiB / 503.5GiB
great_cohen: CPU: 3194.83%, Memory: 9.054GiB / 503.5GiB
great_cohen: CPU: 3174.86%, Memory: 9.054GiB / 503.5GiB
great_cohen: CPU: 3206.04%, Memory: 9.054GiB / 503.5GiB
great_cohen: CPU: 3195.60%, Memory: 9.054GiB / 503.5GiB
great_cohen: CPU: 1413.85%, Memory: 10.64GiB / 503.5GiB
great_cohen: CPU: 100.05%, Memory: 15.26GiB / 503.5GiB
interesting_kilby: CPU: 177.09%, Memory: 1.105GiB / 503.5GiB
interesting_kilby: CPU: 100.21%, Memory: 3.593GiB / 503.5GiB
interesting_kilby: CPU: 100.12%, Memory: 5.967GiB / 503.5GiB
interesting_kilby: CPU: 100.14%, Memory: 4.188GiB / 503.5GiB
interesting_kilby: CPU: 100.12%, Memory: 8.462GiB / 503.5GiB
interesting_kilby: CPU: 3195.81%, Memory: 9.003GiB / 503.5GiB
interesting_kilby: CPU: 3206.37%, Memory: 9.004GiB / 503.5GiB
interesting_kilby: CPU: 3195.59%, Memory: 9.005GiB / 503.5GiB
interesting_kilby: CPU: 3208.04%, Memory: 9.005GiB / 503.5GiB
interesting_kilby: CPU: 3207.30%, Memory: 9.006GiB / 503.5GiB
interesting_kilby: CPU: 3179.60%, Memory: 9.007GiB / 503.5GiB
interesting_kilby: CPU: 3197.52%, Memory: 9.008GiB / 503.5GiB
interesting_kilby: CPU: 3194.29%, Memory: 9.009GiB / 503.5GiB
interesting_kilby: CPU: 3187.79%, Memory: 9.01GiB / 503.5GiB
interesting_kilby: CPU: 3095.23%, Memory: 9.01GiB / 503.5GiB
