adoring_payne: CPU: 3209.91%, Memory: 9.068GiB / 503.5GiB
adoring_payne: CPU: 3182.28%, Memory: 9.068GiB / 503.5GiB
adoring_payne: CPU: 3197.98%, Memory: 9.068GiB / 503.5GiB
adoring_payne: CPU: 100.09%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 151.22%, Memory: 1.234GiB / 503.5GiB
quirky_franklin: CPU: 100.30%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 99.81%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 99.59%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 98.92%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 99.87%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 99.63%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
quirky_franklin: CPU: 100.12%, Memory: 6.488GiB / 503.5GiB
quirky_franklin: CPU: 2701.19%, Memory: 7.627GiB / 503.5GiB
quirky_franklin: CPU: 3135.55%, Memory: 7.626GiB / 503.5GiB
quirky_franklin: CPU: 100.05%, Memory: 6.299GiB / 503.5GiB
quirky_franklin: CPU: 1671.33%, Memory: 7.639GiB / 503.5GiB
quirky_franklin: CPU: 3207.28%, Memory: 7.638GiB / 503.5GiB
quirky_franklin: CPU: 3164.04%, Memory: 7.649GiB / 503.5GiB
quirky_franklin: CPU: 553.75%, Memory: 7.654GiB / 503.5GiB
quirky_franklin: CPU: 100.05%, Memory: 6.081GiB / 503.5GiB
quirky_franklin: CPU: 100.09%, Memory: 6.483GiB / 503.5GiB
quirky_franklin: CPU: 1339.98%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 3190.44%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 3199.47%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 3207.64%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 3103.15%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 3183.73%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 2963.49%, Memory: 9.068GiB / 503.5GiB
quirky_franklin: CPU: 100.09%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 158.35%, Memory: 1.228GiB / 503.5GiB
laughing_chatelet: CPU: 100.14%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 99.62%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
laughing_chatelet: CPU: 100.14%, Memory: 6.468GiB / 503.5GiB
laughing_chatelet: CPU: 2686.70%, Memory: 7.627GiB / 503.5GiB
laughing_chatelet: CPU: 3204.74%, Memory: 7.626GiB / 503.5GiB
laughing_chatelet: CPU: 99.72%, Memory: 6.489GiB / 503.5GiB
laughing_chatelet: CPU: 2409.25%, Memory: 7.638GiB / 503.5GiB
laughing_chatelet: CPU: 3086.97%, Memory: 7.638GiB / 503.5GiB
laughing_chatelet: CPU: 3113.37%, Memory: 7.644GiB / 503.5GiB
laughing_chatelet: CPU: 3086.88%, Memory: 7.653GiB / 503.5GiB
laughing_chatelet: CPU: 100.09%, Memory: 6.081GiB / 503.5GiB
laughing_chatelet: CPU: 100.15%, Memory: 6.081GiB / 503.5GiB
laughing_chatelet: CPU: 100.12%, Memory: 8.227GiB / 503.5GiB
laughing_chatelet: CPU: 3196.08%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 3167.34%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 3208.33%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 3196.03%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 3209.92%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 3210.00%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 100.12%, Memory: 9.068GiB / 503.5GiB
laughing_chatelet: CPU: 0.00%, Memory: 0B / 0B
stupefied_payne: CPU: 147.37%, Memory: 1.236GiB / 503.5GiB
stupefied_payne: CPU: 100.37%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 99.78%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 99.74%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
stupefied_payne: CPU: 100.09%, Memory: 6.476GiB / 503.5GiB
stupefied_payne: CPU: 2747.31%, Memory: 7.627GiB / 503.5GiB
stupefied_payne: CPU: 3187.04%, Memory: 7.626GiB / 503.5GiB
stupefied_payne: CPU: 100.05%, Memory: 6.481GiB / 503.5GiB
stupefied_payne: CPU: 2578.13%, Memory: 7.639GiB / 503.5GiB
stupefied_payne: CPU: 3194.96%, Memory: 7.638GiB / 503.5GiB
stupefied_payne: CPU: 3156.20%, Memory: 7.65GiB / 503.5GiB
stupefied_payne: CPU: 123.28%, Memory: 7.654GiB / 503.5GiB
stupefied_payne: CPU: 100.05%, Memory: 6.081GiB / 503.5GiB
stupefied_payne: CPU: 100.15%, Memory: 6.616GiB / 503.5GiB
stupefied_payne: CPU: 1656.51%, Memory: 9.069GiB / 503.5GiB
stupefied_payne: CPU: 3123.14%, Memory: 9.068GiB / 503.5GiB
stupefied_payne: CPU: 3207.87%, Memory: 9.068GiB / 503.5GiB
stupefied_payne: CPU: 3195.22%, Memory: 9.068GiB / 503.5GiB
stupefied_payne: CPU: 3183.62%, Memory: 9.068GiB / 503.5GiB
stupefied_payne: CPU: 3196.12%, Memory: 9.068GiB / 503.5GiB
stupefied_payne: CPU: 3192.15%, Memory: 9.068GiB / 503.5GiB
stupefied_payne: CPU: 100.09%, Memory: 9.068GiB / 503.5GiB
elated_elion: CPU: 114.98%, Memory: 1.261GiB / 503.5GiB
elated_elion: CPU: 100.27%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.78%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.65%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
elated_elion: CPU: 99.65%, Memory: 6.533GiB / 503.5GiB
elated_elion: CPU: 3092.03%, Memory: 7.627GiB / 503.5GiB
elated_elion: CPU: 3206.01%, Memory: 7.626GiB / 503.5GiB
elated_elion: CPU: 99.72%, Memory: 6.581GiB / 503.5GiB
elated_elion: CPU: 2919.28%, Memory: 7.639GiB / 503.5GiB
elated_elion: CPU: 3188.66%, Memory: 7.638GiB / 503.5GiB
elated_elion: CPU: 3158.00%, Memory: 7.65GiB / 503.5GiB
elated_elion: CPU: 100.12%, Memory: 7.654GiB / 503.5GiB
