objective_burnell: CPU: 3088.93%, Memory: 9.045GiB / 503.5GiB
objective_burnell: CPU: 3133.39%, Memory: 9.046GiB / 503.5GiB
objective_burnell: CPU: 3094.57%, Memory: 9.046GiB / 503.5GiB
objective_burnell: CPU: 3136.32%, Memory: 9.046GiB / 503.5GiB
objective_burnell: CPU: 3205.78%, Memory: 9.047GiB / 503.5GiB
objective_burnell: CPU: 3211.32%, Memory: 9.047GiB / 503.5GiB
objective_burnell: CPU: 3192.39%, Memory: 9.048GiB / 503.5GiB
objective_burnell: CPU: 3195.06%, Memory: 9.048GiB / 503.5GiB
objective_burnell: CPU: 3192.17%, Memory: 9.048GiB / 503.5GiB
objective_burnell: CPU: 3194.18%, Memory: 9.048GiB / 503.5GiB
objective_burnell: CPU: 100.12%, Memory: 9.048GiB / 503.5GiB
objective_burnell: CPU: 100.12%, Memory: 9.048GiB / 503.5GiB
objective_burnell: CPU: 99.69%, Memory: 8.207GiB / 503.5GiB
objective_burnell: CPU: 3197.16%, Memory: 9.04GiB / 503.5GiB
objective_burnell: CPU: 3172.98%, Memory: 9.04GiB / 503.5GiB
objective_burnell: CPU: 3095.92%, Memory: 9.039GiB / 503.5GiB
objective_burnell: CPU: 3168.76%, Memory: 9.039GiB / 503.5GiB
objective_burnell: CPU: 3093.74%, Memory: 9.039GiB / 503.5GiB
objective_burnell: CPU: 3136.29%, Memory: 9.039GiB / 503.5GiB
objective_burnell: CPU: 3168.67%, Memory: 9.039GiB / 503.5GiB
objective_burnell: CPU: 100.15%, Memory: 9.039GiB / 503.5GiB
competent_einstein: CPU: 144.68%, Memory: 1.175GiB / 503.5GiB
competent_einstein: CPU: 100.24%, Memory: 2.99GiB / 503.5GiB
competent_einstein: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
competent_einstein: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
competent_einstein: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
competent_einstein: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
competent_einstein: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
competent_einstein: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
competent_einstein: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
