quirky_jennings: CPU: 100.09%, Memory: 3.988GiB / 503.5GiB
quirky_jennings: CPU: 100.12%, Memory: 8.765GiB / 503.5GiB
quirky_jennings: CPU: 3186.88%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3183.34%, Memory: 9.051GiB / 503.5GiB
quirky_jennings: CPU: 3192.86%, Memory: 9.05GiB / 503.5GiB
quirky_jennings: CPU: 3196.51%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3197.17%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3195.25%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3196.39%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3196.24%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 298.42%, Memory: 12.03GiB / 503.5GiB
quirky_jennings: CPU: 99.96%, Memory: 10.26GiB / 503.5GiB
quirky_jennings: CPU: 3083.73%, Memory: 9.05GiB / 503.5GiB
quirky_jennings: CPU: 3096.57%, Memory: 9.05GiB / 503.5GiB
quirky_jennings: CPU: 3196.64%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3188.44%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3207.58%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 3192.29%, Memory: 9.049GiB / 503.5GiB
quirky_jennings: CPU: 100.18%, Memory: 13.01GiB / 503.5GiB
funny_goldstine: CPU: 101.82%, Memory: 1.128GiB / 503.5GiB
funny_goldstine: CPU: 100.09%, Memory: 3.838GiB / 503.5GiB
funny_goldstine: CPU: 100.18%, Memory: 3.123GiB / 503.5GiB
funny_goldstine: CPU: 100.05%, Memory: 3.751GiB / 503.5GiB
funny_goldstine: CPU: 100.05%, Memory: 8.161GiB / 503.5GiB
funny_goldstine: CPU: 3193.22%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3093.78%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3105.81%, Memory: 9.05GiB / 503.5GiB
funny_goldstine: CPU: 3095.97%, Memory: 9.05GiB / 503.5GiB
funny_goldstine: CPU: 3182.90%, Memory: 9.05GiB / 503.5GiB
funny_goldstine: CPU: 3194.93%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3209.88%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3159.14%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 2486.92%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 100.12%, Memory: 12.03GiB / 503.5GiB
funny_goldstine: CPU: 314.12%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3196.63%, Memory: 9.05GiB / 503.5GiB
funny_goldstine: CPU: 3196.00%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3209.09%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3184.05%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3094.45%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 3123.99%, Memory: 9.049GiB / 503.5GiB
funny_goldstine: CPU: 100.21%, Memory: 15.1GiB / 503.5GiB
determined_engelbart: CPU: 109.80%, Memory: 1.155GiB / 503.5GiB
determined_engelbart: CPU: 100.23%, Memory: 3.939GiB / 503.5GiB
determined_engelbart: CPU: 100.05%, Memory: 3.397GiB / 503.5GiB
determined_engelbart: CPU: 100.08%, Memory: 3.93GiB / 503.5GiB
determined_engelbart: CPU: 100.15%, Memory: 8.638GiB / 503.5GiB
determined_engelbart: CPU: 3196.66%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3186.24%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3196.56%, Memory: 9.05GiB / 503.5GiB
determined_engelbart: CPU: 3195.28%, Memory: 9.05GiB / 503.5GiB
determined_engelbart: CPU: 3196.64%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3180.36%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3107.86%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3070.68%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 107.19%, Memory: 12.03GiB / 503.5GiB
determined_engelbart: CPU: 100.15%, Memory: 12.03GiB / 503.5GiB
determined_engelbart: CPU: 3170.44%, Memory: 9.052GiB / 503.5GiB
determined_engelbart: CPU: 3193.82%, Memory: 9.05GiB / 503.5GiB
determined_engelbart: CPU: 3206.52%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3197.54%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3195.88%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 3171.36%, Memory: 9.049GiB / 503.5GiB
determined_engelbart: CPU: 100.18%, Memory: 11.77GiB / 503.5GiB
