agitated_solomon: CPU: 3091.28%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3097.23%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3172.52%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3150.04%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3193.82%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3197.28%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3201.33%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3204.32%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3208.00%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3192.99%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3193.50%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3191.69%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3197.31%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3125.82%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3104.35%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3119.05%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3094.24%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3177.35%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3190.80%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3195.02%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3195.94%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3197.00%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3205.87%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3190.33%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3204.47%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3198.76%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3193.74%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3194.53%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3217.28%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 2995.52%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 3112.20%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 100.21%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 100.14%, Memory: 15.01GiB / 503.5GiB
agitated_solomon: CPU: 99.72%, Memory: 9.748GiB / 503.5GiB
agitated_solomon: CPU: 2131.06%, Memory: 12.03GiB / 503.5GiB
agitated_solomon: CPU: 3189.38%, Memory: 12.02GiB / 503.5GiB
agitated_solomon: CPU: 3187.37%, Memory: 12.02GiB / 503.5GiB
agitated_solomon: CPU: 3205.02%, Memory: 12.02GiB / 503.5GiB
agitated_solomon: CPU: 3196.81%, Memory: 12.02GiB / 503.5GiB
agitated_solomon: CPU: 3196.15%, Memory: 12.02GiB / 503.5GiB
agitated_solomon: CPU: 3200.09%, Memory: 12.02GiB / 503.5GiB
agitated_solomon: CPU: 99.72%, Memory: 12.02GiB / 503.5GiB
competent_meninsky: CPU: 159.22%, Memory: 1.208GiB / 503.5GiB
competent_meninsky: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.17%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.56%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.62%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
competent_meninsky: CPU: 100.17%, Memory: 6.202GiB / 503.5GiB
competent_meninsky: CPU: 100.08%, Memory: 7.542GiB / 503.5GiB
competent_meninsky: CPU: 100.05%, Memory: 8.878GiB / 503.5GiB
competent_meninsky: CPU: 3196.19%, Memory: 8.993GiB / 503.5GiB
competent_meninsky: CPU: 3188.97%, Memory: 8.994GiB / 503.5GiB
competent_meninsky: CPU: 3206.59%, Memory: 8.994GiB / 503.5GiB
competent_meninsky: CPU: 3140.77%, Memory: 8.994GiB / 503.5GiB
competent_meninsky: CPU: 3194.14%, Memory: 8.995GiB / 503.5GiB
competent_meninsky: CPU: 3198.46%, Memory: 8.995GiB / 503.5GiB
