vigorous_wozniak: CPU: 3149.63%, Memory: 9.048GiB / 503.5GiB
vigorous_wozniak: CPU: 3190.78%, Memory: 9.048GiB / 503.5GiB
vigorous_wozniak: CPU: 99.75%, Memory: 9.048GiB / 503.5GiB
vigorous_wozniak: CPU: 100.15%, Memory: 9.048GiB / 503.5GiB
vigorous_wozniak: CPU: 100.12%, Memory: 7.235GiB / 503.5GiB
vigorous_wozniak: CPU: 3208.27%, Memory: 9.041GiB / 503.5GiB
vigorous_wozniak: CPU: 3185.98%, Memory: 9.039GiB / 503.5GiB
vigorous_wozniak: CPU: 3207.47%, Memory: 9.039GiB / 503.5GiB
vigorous_wozniak: CPU: 3195.42%, Memory: 9.039GiB / 503.5GiB
vigorous_wozniak: CPU: 3196.30%, Memory: 9.039GiB / 503.5GiB
vigorous_wozniak: CPU: 3197.82%, Memory: 9.039GiB / 503.5GiB
vigorous_wozniak: CPU: 172.73%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.21%, Memory: 1.849GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.34%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 99.78%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 99.62%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 99.87%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.08%, Memory: 4.249GiB / 503.5GiB
youthful_proskuriakova: CPU: 99.75%, Memory: 6.63GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.08%, Memory: 7.907GiB / 503.5GiB
youthful_proskuriakova: CPU: 1476.58%, Memory: 9.041GiB / 503.5GiB
youthful_proskuriakova: CPU: 3192.97%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 3208.34%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.18%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.18%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.11%, Memory: 6.945GiB / 503.5GiB
youthful_proskuriakova: CPU: 100.05%, Memory: 8.234GiB / 503.5GiB
youthful_proskuriakova: CPU: 2997.35%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 3185.97%, Memory: 9.039GiB / 503.5GiB
youthful_proskuriakova: CPU: 3197.62%, Memory: 9.041GiB / 503.5GiB
youthful_proskuriakova: CPU: 3209.01%, Memory: 9.043GiB / 503.5GiB
youthful_proskuriakova: CPU: 3210.15%, Memory: 9.043GiB / 503.5GiB
youthful_proskuriakova: CPU: 3206.70%, Memory: 9.044GiB / 503.5GiB
youthful_proskuriakova: CPU: 3183.00%, Memory: 9.045GiB / 503.5GiB
youthful_proskuriakova: CPU: 3211.61%, Memory: 9.045GiB / 503.5GiB
