cranky_robinson1: CPU: 101.21%, Memory: 8.741GiB / 251.5GiB
cranky_robinson1: CPU: 1579.68%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1543.67%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1553.53%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1557.88%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1582.01%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1580.20%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1580.20%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1581.20%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1585.43%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1582.10%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1578.89%, Memory: 9.027GiB / 251.5GiB
cranky_robinson1: CPU: 1148.74%, Memory: 807.2MiB / 251.5GiB
ecstatic_sutherland: CPU: 100.58%, Memory: 2.599GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.69%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.81%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.07%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.39%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.83%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.84%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.27%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.90%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.41%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.28%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.96%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.81%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.56%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.53%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.84%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.50%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.54%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.81%, Memory: 2.988GiB / 251.5GiB
ecstatic_sutherland: CPU: 102.04%, Memory: 3.573GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.00%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.07%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.93%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.07%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.77%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.18%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.14%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.47%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.81%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.87%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.82%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.88%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.62%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.37%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.39%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.12%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.62%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.56%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.18%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 101.03%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 99.13%, Memory: 5.974GiB / 251.5GiB
ecstatic_sutherland: CPU: 100.90%, Memory: 6.101GiB / 251.5GiB
ecstatic_sutherland: CPU: 1346.43%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1551.59%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1555.17%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1555.48%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1545.79%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1580.79%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1564.01%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1587.25%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1528.91%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1576.42%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1538.70%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1514.70%, Memory: 9.027GiB / 251.5GiB
ecstatic_sutherland: CPU: 1544.23%, Memory: 9.027GiB / 251.5GiB
cranky_mccarthy: CPU: 154.02%, Memory: 1.694GiB / 251.5GiB
cranky_mccarthy: CPU: 101.26%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.52%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
cranky_mccarthy: CPU: 100.56%, Memory: 2.988GiB / 251.5GiB
