loving_feynman: CPU: 184.79%, Memory: 1.169GiB / 251.5GiB
loving_feynman: CPU: 101.71%, Memory: 4.135GiB / 251.5GiB
loving_feynman: CPU: 99.16%, Memory: 4.156GiB / 251.5GiB
loving_feynman: CPU: 101.81%, Memory: 4.267GiB / 251.5GiB
loving_feynman: CPU: 245.28%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1560.42%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1552.87%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1557.76%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1578.33%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1582.17%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1584.51%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1581.34%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1532.25%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1581.06%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1571.05%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1552.22%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1558.05%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1581.36%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1578.35%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1577.63%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1214.50%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 101.45%, Memory: 12.02GiB / 251.5GiB
loving_feynman: CPU: 1587.67%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1577.41%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1578.96%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1549.06%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1554.73%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1558.09%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1542.82%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1579.86%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1551.79%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1557.05%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1579.99%, Memory: 9.039GiB / 251.5GiB
loving_feynman: CPU: 1470.03%, Memory: 9.415GiB / 251.5GiB
loving_feynman: CPU: 99.59%, Memory: 15.35GiB / 251.5GiB
keen_antonelli: CPU: 181.45%, Memory: 1.14GiB / 251.5GiB
keen_antonelli: CPU: 100.05%, Memory: 4.032GiB / 251.5GiB
keen_antonelli: CPU: 99.50%, Memory: 3.819GiB / 251.5GiB
keen_antonelli: CPU: 100.33%, Memory: 4.052GiB / 251.5GiB
keen_antonelli: CPU: 102.05%, Memory: 8.544GiB / 251.5GiB
keen_antonelli: CPU: 1552.16%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1543.65%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1526.16%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1548.71%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1550.47%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1511.31%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1584.68%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1579.91%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1581.52%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1579.61%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1580.91%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1582.26%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1583.08%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1585.85%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1539.55%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1548.66%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 139.71%, Memory: 12.02GiB / 251.5GiB
keen_antonelli: CPU: 157.86%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1550.50%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1520.97%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1526.65%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1558.78%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1545.81%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1505.43%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1534.75%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1545.80%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1580.22%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1553.21%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1577.52%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 1582.15%, Memory: 9.039GiB / 251.5GiB
keen_antonelli: CPU: 101.33%, Memory: 13.46GiB / 251.5GiB
nifty_newton: CPU: 101.03%, Memory: 1.513GiB / 251.5GiB
nifty_newton: CPU: 102.12%, Memory: 4.409GiB / 251.5GiB
nifty_newton: CPU: 100.50%, Memory: 4.591GiB / 251.5GiB
nifty_newton: CPU: 101.45%, Memory: 4.519GiB / 251.5GiB
nifty_newton: CPU: 536.93%, Memory: 9.038GiB / 251.5GiB
nifty_newton: CPU: 1511.27%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1545.87%, Memory: 9.038GiB / 251.5GiB
nifty_newton: CPU: 1546.59%, Memory: 9.038GiB / 251.5GiB
nifty_newton: CPU: 1581.50%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1581.80%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1520.27%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1578.38%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1549.34%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1582.29%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1558.43%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1497.05%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1580.93%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1547.92%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1535.59%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1586.16%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1475.42%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 112.76%, Memory: 12.02GiB / 251.5GiB
nifty_newton: CPU: 568.96%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1582.09%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1554.07%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1548.68%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1542.77%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1580.71%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1580.74%, Memory: 9.039GiB / 251.5GiB
nifty_newton: CPU: 1546.14%, Memory: 9.039GiB / 251.5GiB
