intelligent_yonath: CPU: 1561.01%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1564.68%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1564.64%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1540.26%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1556.98%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1575.88%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1532.03%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1532.45%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1564.31%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1565.63%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1576.60%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1560.59%, Memory: 386MiB / 251.5GiB
intelligent_yonath: CPU: 1564.66%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 164.45%, Memory: 384.6MiB / 251.5GiB
strange_lumiere: CPU: 98.21%, Memory: 384.6MiB / 251.5GiB
strange_lumiere: CPU: 1566.56%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1521.64%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1540.78%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1535.37%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1581.58%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1582.69%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1559.33%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1549.07%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1553.96%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1561.76%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1537.50%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1561.57%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1541.49%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1527.07%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1551.76%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1498.44%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1587.06%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1562.55%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1358.27%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1504.19%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1551.45%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1579.91%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1585.81%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1548.45%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1412.67%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1549.24%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1571.56%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1572.82%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1555.82%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1586.13%, Memory: 386MiB / 251.5GiB
strange_lumiere: CPU: 1319.63%, Memory: 386MiB / 251.5GiB
