magical_tu: CPU: 199.56%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 160.82%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 167.06%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 161.45%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 173.68%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 164.08%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 210.68%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 178.33%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 201.63%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 217.90%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 214.94%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 207.70%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 212.30%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 204.10%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 188.04%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 180.72%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 162.34%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 138.85%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 141.69%, Memory: 1.332GiB / 251.5GiB
magical_tu: CPU: 151.41%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 150.26%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 168.85%, Memory: 1.333GiB / 251.5GiB
magical_tu: CPU: 148.87%, Memory: 1.334GiB / 251.5GiB
magical_tu: CPU: 159.49%, Memory: 1.35GiB / 251.5GiB
magical_tu: CPU: 172.69%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 199.66%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 205.42%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 190.34%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 209.74%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 190.44%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 183.41%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 203.94%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 222.66%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 227.20%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 224.95%, Memory: 1.351GiB / 251.5GiB
magical_tu: CPU: 220.85%, Memory: 1.351GiB / 251.5GiB
