goofy_chatterjee: CPU: 100.31%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 101.20%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.14%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 99.52%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 99.40%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.18%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.06%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.56%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 101.71%, Memory: 2.988GiB / 251.5GiB
goofy_chatterjee: CPU: 100.30%, Memory: 6.759GiB / 251.5GiB
goofy_chatterjee: CPU: 1556.76%, Memory: 7.613GiB / 251.5GiB
goofy_chatterjee: CPU: 1550.62%, Memory: 7.613GiB / 251.5GiB
goofy_chatterjee: CPU: 1009.64%, Memory: 7.613GiB / 251.5GiB
goofy_chatterjee: CPU: 100.69%, Memory: 6.769GiB / 251.5GiB
goofy_chatterjee: CPU: 1555.81%, Memory: 7.627GiB / 251.5GiB
goofy_chatterjee: CPU: 1556.38%, Memory: 7.627GiB / 251.5GiB
goofy_chatterjee: CPU: 1537.89%, Memory: 7.627GiB / 251.5GiB
goofy_chatterjee: CPU: 1548.56%, Memory: 7.633GiB / 251.5GiB
goofy_chatterjee: CPU: 1544.78%, Memory: 7.638GiB / 251.5GiB
goofy_chatterjee: CPU: 326.54%, Memory: 7.64GiB / 251.5GiB
goofy_chatterjee: CPU: 100.69%, Memory: 6.067GiB / 251.5GiB
bold_wing: CPU: 144.47%, Memory: 1.732GiB / 251.5GiB
bold_wing: CPU: 101.54%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 102.05%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.40%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 101.54%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 99.87%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.69%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.52%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.71%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 99.77%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 100.65%, Memory: 2.988GiB / 251.5GiB
bold_wing: CPU: 101.54%, Memory: 2.988GiB / 251.5GiB
