upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.11%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.07%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.97%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.01%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.13%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.11%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 99.94%, Memory: 2.285GiB / 251.5GiB
upbeat_montalcini: CPU: 100.17%, Memory: 2.285GiB / 251.5GiB
