brave_pare: CPU: 1577.98%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1566.06%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1574.28%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.60%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1496.48%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1528.08%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1496.85%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1566.77%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1585.27%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1569.50%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.72%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.46%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1585.00%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.39%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1506.45%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.19%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1570.51%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1491.51%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1495.41%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1494.87%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1552.03%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1567.10%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1564.69%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1586.65%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.01%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.48%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1593.86%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1592.22%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.20%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1590.62%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1589.88%, Memory: 586MiB / 251.5GiB
brave_pare: CPU: 1497.00%, Memory: 586MiB / 251.5GiB
