affectionate_cannon: CPU: 797.44%, Memory: 9.143GiB / 251.5GiB
affectionate_cannon: CPU: 796.96%, Memory: 9.151GiB / 251.5GiB
affectionate_cannon: CPU: 796.95%, Memory: 9.142GiB / 251.5GiB
affectionate_cannon: CPU: 798.64%, Memory: 9.164GiB / 251.5GiB
affectionate_cannon: CPU: 799.91%, Memory: 9.169GiB / 251.5GiB
affectionate_cannon: CPU: 799.46%, Memory: 9.174GiB / 251.5GiB
affectionate_cannon: CPU: 475.77%, Memory: 7.475GiB / 251.5GiB
affectionate_cannon: CPU: 480.38%, Memory: 13.89GiB / 251.5GiB
affectionate_cannon: CPU: 799.28%, Memory: 13.89GiB / 251.5GiB
affectionate_cannon: CPU: 541.43%, Memory: 13.8GiB / 251.5GiB
affectionate_cannon: CPU: 100.25%, Memory: 15.3GiB / 251.5GiB
affectionate_cannon: CPU: 100.00%, Memory: 15.3GiB / 251.5GiB
affectionate_cannon: CPU: 799.46%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 801.16%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 801.16%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 797.97%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 802.66%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 801.12%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 797.85%, Memory: 18.29GiB / 251.5GiB
affectionate_cannon: CPU: 764.32%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 99.86%, Memory: 3.007GiB / 251.5GiB
loving_herschel: CPU: 100.18%, Memory: 5.975GiB / 251.5GiB
loving_herschel: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
loving_herschel: CPU: 802.66%, Memory: 9.019GiB / 251.5GiB
loving_herschel: CPU: 802.65%, Memory: 9.02GiB / 251.5GiB
loving_herschel: CPU: 797.63%, Memory: 9.021GiB / 251.5GiB
loving_herschel: CPU: 798.46%, Memory: 9.023GiB / 251.5GiB
loving_herschel: CPU: 800.81%, Memory: 9.024GiB / 251.5GiB
loving_herschel: CPU: 801.09%, Memory: 9.027GiB / 251.5GiB
loving_herschel: CPU: 799.39%, Memory: 9.03GiB / 251.5GiB
loving_herschel: CPU: 799.08%, Memory: 9.035GiB / 251.5GiB
loving_herschel: CPU: 782.27%, Memory: 9.06GiB / 251.5GiB
loving_herschel: CPU: 799.54%, Memory: 9.12GiB / 251.5GiB
loving_herschel: CPU: 800.66%, Memory: 9.134GiB / 251.5GiB
loving_herschel: CPU: 798.10%, Memory: 9.144GiB / 251.5GiB
loving_herschel: CPU: 797.03%, Memory: 9.152GiB / 251.5GiB
loving_herschel: CPU: 800.04%, Memory: 9.159GiB / 251.5GiB
loving_herschel: CPU: 799.63%, Memory: 9.145GiB / 251.5GiB
loving_herschel: CPU: 800.15%, Memory: 9.17GiB / 251.5GiB
loving_herschel: CPU: 802.65%, Memory: 9.174GiB / 251.5GiB
loving_herschel: CPU: 345.87%, Memory: 8.202GiB / 251.5GiB
loving_herschel: CPU: 577.68%, Memory: 13.89GiB / 251.5GiB
loving_herschel: CPU: 799.92%, Memory: 13.89GiB / 251.5GiB
loving_herschel: CPU: 382.24%, Memory: 14.52GiB / 251.5GiB
loving_herschel: CPU: 99.74%, Memory: 15.3GiB / 251.5GiB
loving_herschel: CPU: 100.06%, Memory: 15.3GiB / 251.5GiB
loving_herschel: CPU: 799.93%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 799.94%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 797.43%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 799.40%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 797.95%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 799.96%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 799.44%, Memory: 18.29GiB / 251.5GiB
loving_herschel: CPU: 707.54%, Memory: 18.29GiB / 251.5GiB
goofy_sammet: CPU: 99.99%, Memory: 2.998GiB / 251.5GiB
goofy_sammet: CPU: 100.08%, Memory: 5.975GiB / 251.5GiB
goofy_sammet: CPU: 99.81%, Memory: 5.975GiB / 251.5GiB
goofy_sammet: CPU: 800.36%, Memory: 9.019GiB / 251.5GiB
goofy_sammet: CPU: 801.11%, Memory: 9.02GiB / 251.5GiB
goofy_sammet: CPU: 801.39%, Memory: 9.021GiB / 251.5GiB
goofy_sammet: CPU: 800.90%, Memory: 9.023GiB / 251.5GiB
goofy_sammet: CPU: 800.01%, Memory: 9.025GiB / 251.5GiB
goofy_sammet: CPU: 799.43%, Memory: 9.027GiB / 251.5GiB
goofy_sammet: CPU: 801.68%, Memory: 9.03GiB / 251.5GiB
goofy_sammet: CPU: 801.31%, Memory: 9.035GiB / 251.5GiB
