vibrant_blackburn: CPU: 1458.86%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1393.58%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1433.95%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1468.55%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1520.48%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1487.49%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1375.63%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1382.30%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1331.67%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1499.84%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1338.71%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1379.16%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1512.98%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1427.31%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1256.72%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1304.50%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1434.90%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1473.70%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1389.57%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1397.12%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1391.74%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1437.02%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1428.45%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1339.44%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1476.88%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1401.21%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1279.01%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1282.97%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1291.48%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1407.46%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1421.79%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1460.55%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1473.25%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1396.44%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1431.56%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1490.12%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1467.97%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1371.73%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1476.48%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1482.58%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1465.72%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1506.44%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1422.13%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1456.22%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1468.80%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1461.68%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1323.49%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1443.54%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1498.41%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1480.01%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1499.40%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1282.38%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1432.24%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1348.49%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1427.92%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1439.26%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1401.16%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1365.01%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1363.20%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1387.22%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1384.05%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1459.70%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1437.07%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1484.34%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1449.57%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1446.23%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1389.00%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1478.76%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1457.25%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1460.08%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1449.48%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1401.93%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1401.03%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1492.31%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1491.51%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1312.81%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1493.57%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1365.65%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1454.84%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1486.20%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1243.12%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1513.15%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1457.71%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1406.59%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1427.67%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1389.49%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1524.05%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1479.32%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1422.78%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1441.23%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1472.64%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1450.16%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1462.69%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1450.87%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1384.75%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1501.97%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1456.73%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1480.41%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1471.71%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1491.49%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1493.92%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1498.52%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1395.05%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1303.41%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1482.00%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1511.60%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1501.34%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1496.63%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1470.23%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1386.64%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1519.19%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1444.37%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1446.80%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1517.88%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1525.67%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1511.35%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1444.18%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1492.39%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1498.05%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1463.20%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1499.20%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1438.67%, Memory: 5.976GiB / 251.5GiB
