reverent_williamson: CPU: 1524.74%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.40%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1504.99%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1489.66%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1542.28%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1540.10%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1499.57%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1497.75%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1497.44%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1482.63%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1479.71%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1487.57%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1493.12%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1498.22%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1524.51%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1495.25%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1493.07%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1523.38%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1505.50%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1497.28%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1500.64%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1510.18%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1521.44%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1509.15%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1489.26%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1488.10%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1515.75%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1485.06%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1493.23%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1498.11%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1492.44%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1486.50%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1486.28%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1510.74%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1518.56%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1486.87%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1484.95%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1532.03%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1483.11%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1524.27%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1486.93%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1522.99%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1491.55%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1510.75%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1481.93%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1484.51%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1488.84%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1492.30%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1504.68%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1493.00%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1511.83%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1486.82%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1525.99%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1500.88%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1516.28%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1479.13%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1486.86%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1500.19%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1478.34%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1492.02%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1506.40%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1488.20%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1497.65%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1503.20%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1481.64%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1506.88%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1502.29%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1499.47%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1525.03%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1525.71%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1487.16%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1493.49%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1505.83%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1497.48%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1547.91%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1496.15%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1491.82%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1493.38%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1502.00%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1512.48%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1536.79%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1484.20%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1484.86%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1520.70%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1508.75%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1497.57%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1498.49%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1507.75%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1493.19%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1485.02%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1494.88%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1538.72%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1516.44%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1488.52%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1494.57%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1494.47%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1491.35%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1472.47%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1494.48%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1521.39%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1504.87%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1522.24%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1515.81%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1511.28%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1494.64%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1528.61%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1537.21%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1501.35%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1494.51%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1503.75%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1526.36%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1525.95%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1542.90%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1498.30%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1509.83%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1476.27%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1475.76%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1490.04%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1490.04%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1487.96%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1524.47%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1516.35%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1510.32%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1503.32%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1488.78%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1519.93%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1487.71%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1491.10%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1518.87%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1490.93%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1496.89%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1499.32%, Memory: 14.96GiB / 251.5GiB
reverent_williamson: CPU: 1491.25%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1501.15%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1492.05%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1480.04%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1491.05%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1546.62%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1499.35%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1510.48%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1524.79%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1499.45%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1501.99%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1509.14%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1490.05%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1492.05%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1490.15%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1509.97%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1490.51%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1520.52%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1506.58%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1490.79%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1555.99%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1492.45%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1518.67%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1515.35%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1554.57%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1495.40%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1554.24%, Memory: 14.97GiB / 251.5GiB
reverent_williamson: CPU: 1521.04%, Memory: 14.98GiB / 251.5GiB
reverent_williamson: CPU: 1499.95%, Memory: 14.98GiB / 251.5GiB
reverent_williamson: CPU: 1550.78%, Memory: 17.2GiB / 251.5GiB
reverent_williamson: CPU: 1545.22%, Memory: 17.4GiB / 251.5GiB
reverent_williamson: CPU: 1527.09%, Memory: 17.51GiB / 251.5GiB
reverent_williamson: CPU: 1552.22%, Memory: 17.59GiB / 251.5GiB
reverent_williamson: CPU: 1548.47%, Memory: 17.65GiB / 251.5GiB
reverent_williamson: CPU: 1533.48%, Memory: 17.7GiB / 251.5GiB
reverent_williamson: CPU: 1547.62%, Memory: 17.74GiB / 251.5GiB
reverent_williamson: CPU: 1554.57%, Memory: 17.77GiB / 251.5GiB
reverent_williamson: CPU: 1508.12%, Memory: 17.79GiB / 251.5GiB
reverent_williamson: CPU: 1555.40%, Memory: 17.81GiB / 251.5GiB
reverent_williamson: CPU: 1541.36%, Memory: 17.84GiB / 251.5GiB
reverent_williamson: CPU: 1539.42%, Memory: 17.85GiB / 251.5GiB
reverent_williamson: CPU: 1503.06%, Memory: 17.87GiB / 251.5GiB
reverent_williamson: CPU: 1536.38%, Memory: 17.88GiB / 251.5GiB
reverent_williamson: CPU: 1492.43%, Memory: 17.89GiB / 251.5GiB
reverent_williamson: CPU: 1491.95%, Memory: 17.9GiB / 251.5GiB
reverent_williamson: CPU: 1488.14%, Memory: 17.91GiB / 251.5GiB
reverent_williamson: CPU: 1483.08%, Memory: 17.92GiB / 251.5GiB
reverent_williamson: CPU: 1487.36%, Memory: 17.93GiB / 251.5GiB
reverent_williamson: CPU: 1474.86%, Memory: 17.93GiB / 251.5GiB
reverent_williamson: CPU: 1493.08%, Memory: 17.94GiB / 251.5GiB
reverent_williamson: CPU: 1521.29%, Memory: 17.94GiB / 251.5GiB
reverent_williamson: CPU: 1508.12%, Memory: 17.95GiB / 251.5GiB
reverent_williamson: CPU: 1544.90%, Memory: 17.95GiB / 251.5GiB
reverent_williamson: CPU: 1515.45%, Memory: 17.96GiB / 251.5GiB
reverent_williamson: CPU: 1483.21%, Memory: 17.96GiB / 251.5GiB
reverent_williamson: CPU: 1487.05%, Memory: 17.96GiB / 251.5GiB
reverent_williamson: CPU: 1516.48%, Memory: 17.96GiB / 251.5GiB
reverent_williamson: CPU: 1549.12%, Memory: 17.97GiB / 251.5GiB
