pedantic_kepler: CPU: 1480.69%, Memory: 9.118GiB / 251.5GiB
pedantic_kepler: CPU: 1210.53%, Memory: 12.16GiB / 251.5GiB
pedantic_kepler: CPU: 1566.22%, Memory: 12.16GiB / 251.5GiB
pedantic_kepler: CPU: 1554.34%, Memory: 12.16GiB / 251.5GiB
pedantic_kepler: CPU: 1530.55%, Memory: 12.16GiB / 251.5GiB
pedantic_kepler: CPU: 1536.14%, Memory: 12.16GiB / 251.5GiB
pedantic_kepler: CPU: 1547.68%, Memory: 12.16GiB / 251.5GiB
pedantic_kepler: CPU: 426.72%, Memory: 12.16GiB / 251.5GiB
pedantic_kepler: CPU: 1522.72%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1497.32%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1487.86%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1578.55%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1550.31%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1542.86%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1554.05%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1560.86%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1579.72%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1579.99%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1580.46%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 1584.44%, Memory: 9.184GiB / 251.5GiB
pedantic_kepler: CPU: 101.38%, Memory: 12.17GiB / 251.5GiB
epic_allen6: CPU: 99.77%, Memory: 304.3MiB / 251.5GiB
epic_allen6: CPU: 100.39%, Memory: 3.145GiB / 251.5GiB
epic_allen6: CPU: 100.39%, Memory: 4.376GiB / 251.5GiB
epic_allen6: CPU: 98.37%, Memory: 5.605GiB / 251.5GiB
epic_allen6: CPU: 99.13%, Memory: 7.586GiB / 251.5GiB
epic_allen6: CPU: 100.21%, Memory: 3.703GiB / 251.5GiB
epic_allen6: CPU: 100.56%, Memory: 5.097GiB / 251.5GiB
epic_allen6: CPU: 1285.25%, Memory: 6.107GiB / 251.5GiB
epic_allen6: CPU: 1552.40%, Memory: 6.107GiB / 251.5GiB
epic_allen6: CPU: 1323.56%, Memory: 6.107GiB / 251.5GiB
epic_allen6: CPU: 1374.45%, Memory: 9.109GiB / 251.5GiB
epic_allen6: CPU: 1554.03%, Memory: 9.108GiB / 251.5GiB
epic_allen6: CPU: 1512.63%, Memory: 9.108GiB / 251.5GiB
epic_allen6: CPU: 1580.68%, Memory: 9.108GiB / 251.5GiB
epic_allen6: CPU: 1514.20%, Memory: 9.108GiB / 251.5GiB
epic_allen6: CPU: 1565.42%, Memory: 9.108GiB / 251.5GiB
epic_allen6: CPU: 1496.32%, Memory: 9.108GiB / 251.5GiB
epic_allen6: CPU: 1528.78%, Memory: 9.115GiB / 251.5GiB
epic_allen6: CPU: 1486.44%, Memory: 9.116GiB / 251.5GiB
epic_allen6: CPU: 1553.68%, Memory: 9.116GiB / 251.5GiB
epic_allen6: CPU: 1521.53%, Memory: 9.116GiB / 251.5GiB
epic_allen6: CPU: 1540.59%, Memory: 9.117GiB / 251.5GiB
epic_allen6: CPU: 1580.80%, Memory: 9.117GiB / 251.5GiB
epic_allen6: CPU: 1563.51%, Memory: 9.117GiB / 251.5GiB
epic_allen6: CPU: 1564.96%, Memory: 9.117GiB / 251.5GiB
epic_allen6: CPU: 1561.97%, Memory: 9.117GiB / 251.5GiB
epic_allen6: CPU: 1562.26%, Memory: 9.117GiB / 251.5GiB
epic_allen6: CPU: 1528.99%, Memory: 9.118GiB / 251.5GiB
epic_allen6: CPU: 1581.86%, Memory: 9.118GiB / 251.5GiB
epic_allen6: CPU: 891.31%, Memory: 12.16GiB / 251.5GiB
epic_allen6: CPU: 1551.28%, Memory: 12.16GiB / 251.5GiB
epic_allen6: CPU: 1554.02%, Memory: 12.16GiB / 251.5GiB
epic_allen6: CPU: 1553.42%, Memory: 12.16GiB / 251.5GiB
epic_allen6: CPU: 1580.17%, Memory: 12.16GiB / 251.5GiB
epic_allen6: CPU: 1587.93%, Memory: 12.16GiB / 251.5GiB
epic_allen6: CPU: 106.82%, Memory: 6.19GiB / 251.5GiB
epic_allen6: CPU: 1586.20%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1501.24%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1551.60%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1557.54%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1561.09%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1550.42%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1540.87%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1548.92%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1584.19%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1552.38%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1510.82%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 1512.78%, Memory: 9.184GiB / 251.5GiB
epic_allen6: CPU: 496.24%, Memory: 11.46GiB / 251.5GiB
strange_gagarin: CPU: 215.65%, Memory: 69.31MiB / 251.5GiB
strange_gagarin: CPU: 100.50%, Memory: 2.992GiB / 251.5GiB
strange_gagarin: CPU: 99.00%, Memory: 4.306GiB / 251.5GiB
strange_gagarin: CPU: 100.77%, Memory: 5.581GiB / 251.5GiB
strange_gagarin: CPU: 98.70%, Memory: 7.569GiB / 251.5GiB
strange_gagarin: CPU: 100.90%, Memory: 3.728GiB / 251.5GiB
strange_gagarin: CPU: 101.35%, Memory: 5.164GiB / 251.5GiB
strange_gagarin: CPU: 1525.08%, Memory: 6.107GiB / 251.5GiB
strange_gagarin: CPU: 1550.85%, Memory: 6.106GiB / 251.5GiB
strange_gagarin: CPU: 1367.28%, Memory: 6.106GiB / 251.5GiB
strange_gagarin: CPU: 1330.17%, Memory: 9.109GiB / 251.5GiB
strange_gagarin: CPU: 1583.89%, Memory: 9.108GiB / 251.5GiB
strange_gagarin: CPU: 1564.78%, Memory: 9.108GiB / 251.5GiB
strange_gagarin: CPU: 1561.33%, Memory: 9.108GiB / 251.5GiB
strange_gagarin: CPU: 1544.84%, Memory: 9.108GiB / 251.5GiB
strange_gagarin: CPU: 1555.01%, Memory: 9.108GiB / 251.5GiB
strange_gagarin: CPU: 1582.40%, Memory: 9.115GiB / 251.5GiB
strange_gagarin: CPU: 1525.58%, Memory: 9.115GiB / 251.5GiB
strange_gagarin: CPU: 1566.37%, Memory: 9.116GiB / 251.5GiB
strange_gagarin: CPU: 1491.60%, Memory: 9.116GiB / 251.5GiB
strange_gagarin: CPU: 1492.52%, Memory: 9.116GiB / 251.5GiB
strange_gagarin: CPU: 1496.78%, Memory: 9.116GiB / 251.5GiB
strange_gagarin: CPU: 1562.96%, Memory: 9.117GiB / 251.5GiB
strange_gagarin: CPU: 1534.70%, Memory: 9.117GiB / 251.5GiB
strange_gagarin: CPU: 1565.47%, Memory: 9.117GiB / 251.5GiB
strange_gagarin: CPU: 1544.99%, Memory: 9.117GiB / 251.5GiB
strange_gagarin: CPU: 1510.46%, Memory: 9.117GiB / 251.5GiB
strange_gagarin: CPU: 1560.66%, Memory: 9.118GiB / 251.5GiB
strange_gagarin: CPU: 1491.27%, Memory: 9.118GiB / 251.5GiB
strange_gagarin: CPU: 1522.74%, Memory: 9.118GiB / 251.5GiB
strange_gagarin: CPU: 1532.87%, Memory: 9.118GiB / 251.5GiB
strange_gagarin: CPU: 1492.27%, Memory: 9.118GiB / 251.5GiB
strange_gagarin: CPU: 813.76%, Memory: 12.16GiB / 251.5GiB
strange_gagarin: CPU: 1587.91%, Memory: 12.16GiB / 251.5GiB
strange_gagarin: CPU: 1553.71%, Memory: 12.16GiB / 251.5GiB
strange_gagarin: CPU: 1555.27%, Memory: 12.16GiB / 251.5GiB
strange_gagarin: CPU: 1567.97%, Memory: 12.16GiB / 251.5GiB
strange_gagarin: CPU: 1554.64%, Memory: 12.16GiB / 251.5GiB
strange_gagarin: CPU: 100.62%, Memory: 6.192GiB / 251.5GiB
strange_gagarin: CPU: 1515.41%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1495.85%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1557.49%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1579.30%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1583.74%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1501.85%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1495.16%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1492.33%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1506.50%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1538.88%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1499.50%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1547.44%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1513.86%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 1531.47%, Memory: 9.184GiB / 251.5GiB
strange_gagarin: CPU: 101.92%, Memory: 12.17GiB / 251.5GiB
focused_pike4: CPU: 250.21%, Memory: 67.68MiB / 251.5GiB
