peaceful_khayyam: CPU: 217.06%, Memory: 6.598GiB / 251.5GiB
peaceful_khayyam: CPU: 173.32%, Memory: 6.598GiB / 251.5GiB
peaceful_khayyam: CPU: 221.44%, Memory: 6.598GiB / 251.5GiB
peaceful_khayyam: CPU: 220.01%, Memory: 6.598GiB / 251.5GiB
peaceful_khayyam: CPU: 201.10%, Memory: 6.598GiB / 251.5GiB
peaceful_khayyam: CPU: 202.44%, Memory: 6.598GiB / 251.5GiB
peaceful_khayyam: CPU: 176.10%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 115.36%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 232.65%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 195.20%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 184.91%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 178.34%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 158.07%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 179.11%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 173.98%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 151.17%, Memory: 6.6GiB / 251.5GiB
peaceful_khayyam: CPU: 129.51%, Memory: 6.71GiB / 251.5GiB
peaceful_khayyam: CPU: 100.07%, Memory: 7.097GiB / 251.5GiB
peaceful_khayyam: CPU: 125.13%, Memory: 7.569GiB / 251.5GiB
peaceful_khayyam: CPU: 99.86%, Memory: 7.569GiB / 251.5GiB
peaceful_khayyam: CPU: 194.46%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 227.29%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 203.13%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 157.31%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 186.65%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 163.25%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 159.26%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 196.02%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 95.17%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 175.31%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 167.20%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 173.28%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 176.74%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 215.48%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 208.75%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 222.05%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 216.43%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 213.16%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 228.36%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 228.25%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 214.95%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 161.40%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 181.04%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 164.10%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 178.53%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 176.23%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 180.25%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 170.72%, Memory: 8.083GiB / 251.5GiB
peaceful_khayyam: CPU: 219.18%, Memory: 7.337GiB / 251.5GiB
peaceful_khayyam: CPU: 140.69%, Memory: 3.157GiB / 251.5GiB
peaceful_khayyam: CPU: 156.46%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 157.23%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 183.30%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 179.49%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 178.11%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 251.14%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 172.32%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 183.58%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 177.78%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 175.12%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 149.62%, Memory: 3.836GiB / 251.5GiB
peaceful_khayyam: CPU: 103.94%, Memory: 2.143GiB / 251.5GiB
peaceful_khayyam: CPU: 121.28%, Memory: 2.343GiB / 251.5GiB
peaceful_khayyam: CPU: 137.27%, Memory: 2.343GiB / 251.5GiB
peaceful_khayyam: CPU: 163.31%, Memory: 2.343GiB / 251.5GiB
peaceful_khayyam: CPU: 158.69%, Memory: 2.343GiB / 251.5GiB
