compassionate_ganguly: CPU: 801.66%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.90%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.28%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.90%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.81%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.54%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.15%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.16%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.03%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.30%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.66%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.03%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.30%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 796.88%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.91%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.96%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 804.24%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.03%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 796.47%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.79%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.78%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.25%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 803.16%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.91%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.33%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.94%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.77%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.91%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.02%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.96%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.89%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.77%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 802.16%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.43%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.99%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.90%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.97%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.25%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.70%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.04%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 797.28%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.20%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.96%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.96%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.44%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 804.74%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 798.20%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.46%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.50%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.81%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.38%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 800.04%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 796.44%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 799.57%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.58%, Memory: 24.36GiB / 251.5GiB
compassionate_ganguly: CPU: 801.04%, Memory: 24.36GiB / 251.5GiB
